coder,unique_id,link,grammatical_class,paper_eligibility,description,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,test_type,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_contrast,stimuli_type,stimuli_modality,stimuli_actor,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,d_calc,d_var_calc,es_method,unique_infant,test_method,agent_argument_type_clean,agent_argument_number,agent_argument_type2,patient_argument_type_clean,adult_participant,data_source_clean,publication_year
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,"same action vs same object (iterative, durative, non-resultative)","Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",table_1,1,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 1a",non-resultative,pointing,action,33,English,1940.8544,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA,17,0.69,0.5,NA,0.33,0.33,NA,NA,NA,0.5757575757575756,0.0685734348835953,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,table,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",table_1,1,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 1b",resultative,pointing,action,34,English,1946.3336,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA,17,0.36,0.5,NA,0.38,0.38,NA,NA,NA,-0.368421052631579,0.06281570800065178,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,table,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2a",non_resultative_5_ongoing,pointing,action,35,English,1932.94,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA,20,0.6923076923076923,0.5,NA,0.19657740461536613,0.19657740461536613,NA,NA,NA,0.9782797401561579,0.07392578125,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2b",resultative_5_ongoing,pointing,action,36,English,1943.2896,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA,19,0.3516483516483516,0.5,NA,0.19159995356222742,0.19159995356222742,NA,NA,NA,-0.774278101813146,0.06840806786703602,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2c",non_resultative_5_past,pointing,action,37,English,1958.2052,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She mooped it,where did she moop it?,2,NA,21,0.4505494505494505,0.5,NA,0.251789873349222,0.251789873349222,NA,NA,NA,-0.19639610121239331,0.048537414965986396,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2d",resultative_resultative_5_past,pointing,action,38,English,1928.374,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She mooped it,where did she moop it?,2,NA,23,0.2747252747252747,0.5,NA,0.2108057812445151,0.2108057812445151,NA,NA,NA,-1.0686363720425085,0.06830399338374293,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2e",non_resultative_3_ongoing,pointing,action,39,English,1298.266,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA,17,0.26373626373626374,0.5,NA,0.181235412115062,0.181235412115062,NA,NA,NA,-1.3036289845702898,0.10880730968858132,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2f",resultative_3_ongoing,pointing,action,40,English,1301.6144,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA,17,0.06593406593406594,0.5,NA,0.1359265590862965,0.1359265590862965,NA,NA,NA,-3.1933857296450507,0.3587562475970781,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2g",non_resultative_3_past,pointing,action,41,English,1294.6132,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She mooped it,where did she moop it?,2,NA,17,0.3076923076923077,0.5,NA,0.181235412115062,0.181235412115062,NA,NA,NA,-1.0610933595339567,0.09193879757785467,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,NA
anjie,abbot-smith2017,https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2h",resultative_resultative_3_past,pointing,action,42,English,1314.3992,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She mooped it,where did she moop it?,2,NA,17,0.04395604395604395,0.5,NA,0.0453088530287655,0.0453088530287655,NA,NA,NA,-10.065228439007818,3.0384948096885807,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,NA
