checked,coder,unique_id,expt_num,link,grammatical_class,paper_eligibility,short_cite,data_source,plot_label,expt_condition,dependent_measure,test_type,se,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,d_calc,d_var_calc,es_method,unique_infant,test_method,agent_argument_type_clean,agent_argument_number,agent_argument_type2,transitive_event_type2,patient_argument_type_clean,visual_stimuli_pair,adult_participant,data_source_clean,paradigm_type,publication_year
no,anjie,naigles1990,1,https://www.cambridge.org/core/journals/journal-of-child-language/article/children-use-syntax-to-learn-verb-meanings/4E19981CDD2D247CBB37D32A45BAFE31,verb,include,"Naigles, L.(1990).",author_contact,Naigles (1990) - 1a,transitive,looking_duration,action,NA,38,English,761,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_non_person,video,non_person,direct_caused_action,parallel_actions,immediate_after,yes,no,distributed,4,2,3,6,Look! The duck is gorping the bunny!,Where's the gorping now?,2,NA,12,0.548076923,0.5,NA,0.136538462,0.136538462,NA,NA,NA,0.352112676,0.088499306,group_means_one,unique_condition,look,noun,1,noun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,author_contact,action_matching,1990
no,anjie,naigles1990,1,https://www.cambridge.org/core/journals/journal-of-child-language/article/children-use-syntax-to-learn-verb-meanings/4E19981CDD2D247CBB37D32A45BAFE31,verb,include,"Naigles, L.(1990).",author_contact,Naigles (1990) - 1b,intransitive,looking_duration,action,NA,39,English,761,NA,NA,typically_developing,intransitive,two_nouns,NA,fake_verb,video_non_person,video,non_person,direct_caused_action,parallel_actions,immediate_after,yes,no,distributed,4,2,3,6,Look! The duck and the bunny are gorping!,Where's the gorping now?,2,NA,12,0.595103578,0.5,NA,0.105461394,0.105461394,NA,NA,NA,0.901785714,0.117217395,group_means_one,unique_condition,look,noun_phrase,2,noun,direct_caused_action,intransitive,direct_caused_action_parallel_actions,no,author_contact,action_matching,1990
yes,maya/anjie,naigles1993,2,https://www.jstor.org/stable/pdf/1131462.pdf?seq=2,verb,include,"Naigles, L. G., & Kako, E.T. (1993).",results_text,Naigles & Kako (1993) - 2a,transitive_sentence,looking_duration,action,NA,40,English,852.32,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_animal,video,non_person,minimal_contact,parallel_actions,immediate_after,yes,no,distributed,4,2,3,6,the duck is gorping the frog,Oh! They're different now!Where's gorping now? Find gorping!,2,calculated SD from raw,20,0.505154639,0.5,NA,0.121649485,0.121649485,NA,NA,NA,0.042372881,0.050044887,group_means_one,unique_condition,look,noun,1,noun,indirect_caused_action,noun,minimal_contact_parallel_actions,no,text,action_matching,1993
yes,maya/anjie,naigles1993,2,https://www.jstor.org/stable/pdf/1131462.pdf?seq=3,verb,include,"Naigles, L. G., & Kako, E.T. (1993).",results_text,Naigles & Kako (1993) - 2b,intransitive_sentence,looking_duration,action,NA,41,English,791.44,NA,NA,typically_developing,intransitive,2noun,NA,fake_verb,video_animal,video,non_person,minimal_contact,parallel_actions,immediate_after,yes,no,distributed,4,2,3,6,the duck and the frog are gorping,Oh! They're different now!Where's gorping now? Find gorping!,2,calculated SD from raw,16,0.564755839,0.5,NA,0.118895966,0.118895966,NA,NA,NA,0.544642857,0.07176987,group_means_one,unique_condition,look,noun_phrase,2,noun,indirect_caused_action,intransitive,minimal_contact_parallel_actions,no,text,action_matching,1993
no,anjie,scott2017,2,https://www.mitpressjournals.org/doi/full/10.1162/OPMI_a_00001,verb,include,"Scott, K., Chu, J., & Schulz, L. (2017)",author_contact,"Scott, Chu, & Schulz (2017) - 2a",transitive_experiment,looking_duration,action,NA,42,English,888.848,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,distributed,4,2,12,3,NA,Where's meeking? Find meeking,1,online study,16,0.426287744,0.5,NA,0.126702191,0.126702191,NA,NA,NA,-0.581775701,0.073076968,group_means_one,unique_condition,look,noun,1,noun,direct_caused_action,noun,direct_caused_action_one_action,no,author_contact,action_matching,2017
no,anjie,scott2017,2,https://www.mitpressjournals.org/doi/full/10.1162/OPMI_a_00001,verb,include,"Scott, K., Chu, J., & Schulz, L. (2017)",author_contact,"Scott, Chu, & Schulz (2017) - 2b",intransitive_experiment,looking_duration,action,NA,43,English,888.848,NA,NA,typically_developing,intransitive,noun,NA,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,distributed,4,2,12,3,Jane is gonna meek!,Where's meeking? Find meeking,1,online study,17,0.533149171,0.5,NA,0.166298343,0.166298343,NA,NA,NA,0.199335548,0.059992196,group_means_one,unique_condition,look,noun,1,noun,direct_caused_action,intransitive,direct_caused_action_one_action,no,author_contact,action_matching,2017
yes,anjie,yuan2012,1,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 1a",transitive_sentence_simple_event,looking_duration,action,NA,44,English,648.372,NA,30,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,direct_caused_action,one_action,immediate_after,no,yes,mass,1,2,5,2,He's gorping him!,Find gorping.,2,NA,8,0.67,0.5,NA,0.13,0.13,NA,NA,NA,1.307692308,0.231878698,group_means_one,unique_condition,look,pronoun,1,pronoun,direct_caused_action,pronoun,direct_caused_action_one_action,no,text,action_matching,2012
no,anjie,yuan2012,1,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 1b",intransitive_sentence_simple_event,looking_duration,action,NA,45,English,648.372,NA,30,typically_developing,intransitive,pronoun,NA,fake_verb,video_person,video,person,direct_caused_action,one_action,immediate_after,no,yes,mass,1,2,5,2,He's gorping!,Find gorping.,2,NA,8,0.55,0.5,NA,0.21,0.21,NA,NA,NA,0.238095238,0.128543084,group_means_one,unique_condition,look,pronoun,1,pronoun,direct_caused_action,intransitive,direct_caused_action_one_action,no,text,action_matching,2012
no,anjie,yuan2012,1_rep,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 1c",transitive_sentence_simple_event,looking_duration,action,NA,46,English,648.372,NA,54.5,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,indirect_caused_action,one_action,immediate_after,no,yes,mass,1,2,5,2,He's gorping him!,Find gorping.,2,NA,8,0.7,0.5,NA,0.16,0.16,NA,NA,NA,1.25,0.22265625,group_means_one,unique_condition,look,pronoun,1,pronoun,indirect_caused_action,pronoun,indirect_caused_action_one_action,no,text,action_matching,2012
no,anjie,yuan2012,1_rep,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 1d",intransitive_sentence_bystander_event,looking_duration,action,NA,47,English,648.372,NA,54.5,typically_developing,intransitive,pronoun,NA,fake_verb,video_person,video,person,indirect_caused_action,one_action,immediate_after,no,yes,mass,1,2,5,2,He's gorping!,Find gorping.,2,NA,8,0.51,0.5,NA,0.13,0.13,NA,NA,NA,0.076923077,0.125369822,group_means_one,unique_condition,look,pronoun,1,pronoun,indirect_caused_action,intransitive,indirect_caused_action_one_action,no,text,action_matching,2012
no,anjie,yuan2012,2,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 2a",transitive_sentence_bystander_event,looking_duration,action,NA,48,English,630.108,NA,26.5,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate_after,no,yes,mass,1,2,7,2,He's gorping him!,Find gorping.,2,NA,8,0.66,0.5,NA,0.18,0.18,NA,NA,NA,0.888888889,0.174382716,group_means_one,unique_condition,look,pronoun,1,pronoun,indirect_caused_action,pronoun,indirect_caused_action_parallel_actions,no,text,action_matching,2012
no,anjie,yuan2012,2,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 2b",intransitive_sentence_bystander_event,looking_duration,action,NA,49,English,630.108,NA,26.5,typically_developing,intransitive,pronoun,NA,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,immediate_after,no,yes,mass,1,2,7,2,He's gorping!,Find gorping.,2,NA,8,0.53,0.5,NA,0.17,0.17,NA,NA,NA,0.176470588,0.126946367,group_means_one,unique_condition,look,pronoun,1,pronoun,indirect_caused_action,intransitive,indirect_caused_action_parallel_actions,no,text,action_matching,2012
no,anjie,yuan2012,3,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 3a",transitive_simple_events,looking_duration,action,NA,50,English,572.272,NA,16,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,14,2,He's gorping him!,Find gorping.,2,NA,12,0.67,0.5,NA,0.06,0.06,NA,NA,NA,2.833333333,0.417824074,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,noun,direct_caused_action_one_action,no,text,action_matching,2012
no,anjie,yuan2012,3,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 3b",intransitive_simple_events,looking_duration,action,NA,51,English,572.272,NA,16,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,14,2,He's gorping!,Find gorping.,2,NA,12,0.47,0.5,NA,0.2,0.2,NA,NA,NA,-0.15,0.084270833,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_one_action,no,text,action_matching,2012
no,anjie,yuan2012,3,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 3c",transitive_sentence_bystander_event,looking_duration,action,NA,52,English,572.272,NA,16,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,no,no,mass,1,3,18,3,He's gorping him!,Find gorping.,2,NA,12,0.57,0.5,NA,0.17,0.17,NA,NA,NA,0.411764706,0.090397924,group_means_one,unique_condition,look,varying_agent,varying,pronoun,indirect_caused_action,noun,indirect_caused_action_parallel_actions,no,text,action_matching,2012
no,anjie,yuan2012,3,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 3d",intransitive_sentence_bystander_event,looking_duration,action,NA,53,English,572.272,NA,16,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,no,no,mass,1,3,18,3,He's gorping!,Find gorping.,2,NA,12,0.64,0.5,NA,0.09,0.09,NA,NA,NA,1.555555556,0.184156379,group_means_one,unique_condition,look,varying_agent,varying,pronoun,indirect_caused_action,intransitive,indirect_caused_action_parallel_actions,no,text,action_matching,2012
