coder,unique_id,long_cite,link,grammatical_class,paper_eligibility,description,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,test_type,n_1,x_1,x_2_raw,x_2,SD_1,SD_2_raw,SD_2,t,d,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_contrast,stimuli_type,stimuli_modality,stimuli_actor,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,N_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note
anjie,childers2020,"Childers, J. B., Porter, B., Dolan, M., Whitehead, C. B., & McIntyre, K. P. (2020). Does children’s visual attention to specific objects affect their verb learning?. First Language, 40(1), 21-40.",https://journals.sagepub.com/doi/pdf/10.1177/0142723719875575?casa_token=skOefjuaywcAAAAA:PQygemETLed8uxtOSTcLwcdmSpizDDk3KiDn7t8IIUwijBsEP7DnzmzsV33sKgveGMzlOuuCB3id,verb,include,action with new object vs new objects vs different action,"Childers, J. B., Porter, B., Dolan, M., Whitehead, C. B., & McIntyre, K. P. (2020).",figure_3,1,"Childers, Porter, Dolan, Whitehead, & McIntyre (2020) - 1a",2.5_year_old_control,pointing,action,12,0.6,NA,0.5,0.20784609690826525,NA,0.20784609690826525,NA,NA,no,English,1004.52,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,4,2,4,5,Look! She's going to lorse it!,Where is she lorsing it?,2,NA
anjie,childers2020,"Childers, J. B., Porter, B., Dolan, M., Whitehead, C. B., & McIntyre, K. P. (2020). Does children’s visual attention to specific objects affect their verb learning?. First Language, 40(1), 21-40.",https://journals.sagepub.com/doi/pdf/10.1177/0142723719875575?casa_token=skOefjuaywcAAAAA:PQygemETLed8uxtOSTcLwcdmSpizDDk3KiDn7t8IIUwijBsEP7DnzmzsV33sKgveGMzlOuuCB3id,verb,include,action with new object vs new objects vs different action,"Childers, J. B., Porter, B., Dolan, M., Whitehead, C. B., & McIntyre, K. P. (2020).",figure_3,1,"Childers, Porter, Dolan, Whitehead, & McIntyre (2020) - 1b",3.5_year_old_control,pointing,action,12,0.7,NA,0.5,0.18706148721743873,NA,0.18706148721743873,NA,NA,no,English,1248.04,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,4,2,4,5,Look! She's going to lorse it!,Where is she lorsing it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,"same action vs same object (iterative, durative, non-resultative)","Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",table_1,1,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 1a",non-resultative,pointing,action,17,0.69,NA,0.5,0.33,NA,0.33,NA,NA,no,English,1940.8544,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",table_1,1,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 1b",resultative,pointing,action,17,0.36,NA,0.5,0.38,NA,0.38,NA,NA,no,English,1946.3336,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2a",non_resultative_5_ongoing,pointing,action,20,0.6923076923076923,NA,0.5,0.19657740461536613,NA,0.19657740461536613,NA,NA,no,English,1932.94,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2b",resultative_5_ongoing,pointing,action,19,0.3516483516483516,NA,0.5,0.19159995356222742,NA,0.19159995356222742,NA,NA,no,English,1943.2896,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2c",non_resultative_5_past,pointing,action,21,0.4505494505494505,NA,0.5,0.251789873349222,NA,0.251789873349222,NA,NA,no,English,1958.2052,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She mooped it,where did she moop it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2d",resultative_resultative_5_past,pointing,action,23,0.2747252747252747,NA,0.5,0.2108057812445151,NA,0.2108057812445151,NA,NA,no,English,1928.374,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She mooped it,where did she moop it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2e",non_resultative_3_ongoing,pointing,action,17,0.26373626373626374,NA,0.5,0.181235412115062,NA,0.181235412115062,NA,NA,no,English,1298.266,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2f",resultative_3_ongoing,pointing,action,17,0.06593406593406594,NA,0.5,0.1359265590862965,NA,0.1359265590862965,NA,NA,no,English,1301.6144,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She is mooping it!,where is she mooping it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2g",non_resultative_3_past,pointing,action,17,0.3076923076923077,NA,0.5,0.181235412115062,NA,0.181235412115062,NA,NA,no,English,1294.6132,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She mooped it,where did she moop it?,2,NA
anjie,abbot-smith2017,"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017). The role of timing and prototypical causality on how preschoolers fast-map novel verb meanings. First Language, 37(2), 186-204.",https://journals.sagepub.com/doi/pdf/10.1177/0142723716679800?casa_token=11bTjR_1yEMAAAAA:d4UP_eHrtIO4aqgA4n8HgpoNDxG_txcBZ9_CeuU-xAcldJJFl2JgD7MsQ3b57cnT7ofgK7eQ99Za,verb,include,same action vs same object (object change location),"Abbot-Smith, K., Imai, M., Durrant, S., & Nurmsoo, E. (2017)",figure_2,2,"Abbot-Smith, Imai, Durrant,& Nurmsoo (2017) - 2h",resultative_resultative_3_past,pointing,action,17,0.04395604395604395,NA,0.5,0.0453088530287655,NA,0.0453088530287655,NA,NA,no,English,1314.3992,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,no,yes,distributed,6,1,8,8,She mooped it,where did she moop it?,2,NA
