coder,unique_id,long_cite,published,link,grammatical_class,paper_eligibility,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,response_mode,test_type,se,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,unique_infant,test_method,agent_argument_number,visual_stimuli_pair,adult_participant,data_source_clean,publication_year,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,d_calc,d_var_calc,es_method,mean_age_months,row_id
anjie,jyotishi,"Jyotishi, M. & Naigles, L. (2017) Syntactic Bootstrapping: 28-month olds can shift between transitive and intransitive frames. Poster presented at the 14th International Congress for the Study of Child Language, Lyons, France.",no,poster,verb,include,Jyotishi & Naigles (2017),results_figure,1,"Jyotishi & Naigles, poster - 1b",intransitive,looking_duration,looking,action,NA,naigles2011,English,875.15,456.06,NA,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck and bunny are zubbing!,Find zubbing!,2,NA,not_unique,look,2,direct_caused_action_parallel_actions,no,plot,NA,17,0.565465839,0.5,0.509503106,0.164867685,0.164867685,0.204546269,NA,NA,0.397081084,0.063460982,group_means_one,28.75,35
izzy,messenger2014,"Messenger, K., Yuan, S., & Fisher, C. (2015). Learning verb syntax via listening: New evidence from 22-month-olds. Language Learning and Development, 11(4), 356-368.",yes,https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true,verb,include,"Messenger, Yuan, & Fisher (2015)",figure_2,1,"Messenger, Yuan, & Fisher (2015) - 1a",same_transitive,looking_duration,looking,action,NA,36,English,684.9,NA,38,typically_developing,transitive,pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,2,16,2,And Bill was blicking the duck.,Find X-ing!,2,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,plot,2014,8,0.679780421,0.5,NA,0.2,0.2,NA,NA,NA,0.898902105,0.175501562,group_means_one,22.5,36
izzy,messenger2014,"Messenger, K., Yuan, S., & Fisher, C. (2015). Learning verb syntax via listening: New evidence from 22-month-olds. Language Learning and Development, 11(4), 356-368.",yes,https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true,verb,include,"Messenger, Yuan, & Fisher (2015)",figure_2,1,"Messenger, Yuan, & Fisher (2015) - 1b",same_intransitive,looking_duration,looking,action,NA,37,English,684.9,NA,38,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,2,16,2,And Bill was blicking.,Find X-ing!,2,NA,unique_condition,look,varying,direct_caused_action_parallel_actions,no,plot,2014,8,0.62,0.5,NA,0.2,0.2,NA,NA,NA,0.6,0.1475,group_means_one,22.5,37
anjie,naigles_unpublished_visit5,NA,no,unpublished_data,verb,include,Naigles (Unknown Date),author_contact,visit5,"Naigles, unpublished - v5",transitive,looking_duration,looking,action,NA,naigles2011,English,1117.7568,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive",not_unique,look,1,direct_caused_action_parallel_actions,no,author_contact,5,33,0.54,0.5,0.4586,0.0804,0.0804,NA,NA,NA,0.497512438,0.034053313,group_means_one,36.72,38
anjie,naigles_unpublished_visit6,NA,no,unpublished_data,verb,include,Naigles (Unknown Date),author_contact,visit6,"Naigles, unpublished - v6",transitive,looking_duration,looking,action,NA,naigles2011,English,1246.8224,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive",not_unique,look,1,direct_caused_action_parallel_actions,no,author_contact,6,34,0.5565,0.5,0.4793,0.1001,0.1001,NA,NA,NA,0.564435564,0.034096875,group_means_one,40.96,39
anjie,naigles1990,"Naigles, Letitia. ""Children use syntax to learn verb meanings."" Journal of child language 17.2 (1990): 357-374.",yes,https://www.cambridge.org/core/journals/journal-of-child-language/article/children-use-syntax-to-learn-verb-meanings/4E19981CDD2D247CBB37D32A45BAFE31,verb,include,Naigles (1990),contact_author,1,Naigles (1990) - 1a,transitive,looking_duration,looking,action,NA,40,English,761,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_non_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,4,2,3,6,Look! The duck is gorping the bunny!,Where's the gorping now?,2,NA,unique_condition,look,1,direct_caused_action_parallel_actions,no,author_contact,1990,12,0.548076923,0.5,NA,0.136538462,0.136538462,NA,NA,NA,0.352112674,0.088499306,group_means_one,25,40
anjie,naigles1990,"Naigles, Letitia. ""Children use syntax to learn verb meanings."" Journal of child language 17.2 (1990): 357-374.",yes,https://www.cambridge.org/core/journals/journal-of-child-language/article/children-use-syntax-to-learn-verb-meanings/4E19981CDD2D247CBB37D32A45BAFE31,verb,include,Naigles (1990),contact_author,1,Naigles (1990) - 1b,intransitive,looking_duration,looking,action,NA,41,English,761,NA,NA,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_non_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,4,2,3,6,Look! The duck and the bunny are gorping!,Where's the gorping now?,2,NA,unique_condition,look,2,direct_caused_action_parallel_actions,no,author_contact,1990,12,0.595103578,0.5,NA,0.105461394,0.105461394,NA,NA,NA,0.901785709,0.117217394,group_means_one,25,41
maya/anjie,naigles1993,"Naigles, L. G., & Kako, E. T. (1993). First contact in verb acquisition: Defining a role for syntax. Child development, 64(6), 1665-1687.",no,https://www.jstor.org/stable/pdf/1131462.pdf?seq=2,verb,include,Naigles & Kako (1993),results_text,2,Naigles & Kako (1993) - 2a,transitive_sentence,looking_duration,looking,action,NA,42,English,852.32,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_animal,video,non_person,indirect_caused_action,parallel_actions,simultaneous,yes,no,distributed,4,2,3,6,the duck is gorping the frog,Oh! They're different now!Where's gorping now? Find gorping!,2,calculated SD from raw,unique_condition,look,1,indirect_caused_action_parallel_actions,no,text/table,1993,20,0.505154639,0.5,NA,0.121649485,0.121649485,NA,NA,NA,0.04237288,0.050044887,group_means_one,28,42
maya/anjie,naigles1993,"Naigles, L. G., & Kako, E. T. (1993). First contact in verb acquisition: Defining a role for syntax. Child development, 64(6), 1665-1687.",no,https://www.jstor.org/stable/pdf/1131462.pdf?seq=3,verb,include,Naigles & Kako (1993),results_text,2,Naigles & Kako (1993) - 2b,intransitive_sentence,looking_duration,looking,action,NA,43,English,791.44,NA,NA,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_animal,video,non_person,indirect_caused_action,parallel_actions,simultaneous,yes,no,distributed,4,2,3,6,the duck and the frog are gorping,Oh! They're different now!Where's gorping now? Find gorping!,2,calculated SD from raw,unique_condition,look,2,indirect_caused_action_parallel_actions,no,text/table,1993,16,0.564755839,0.5,NA,0.118895966,0.118895966,NA,NA,NA,0.54464286,0.07176987,group_means_one,26,43
maya/anjie,naigles2011,"Naigles, L. R., Kelty, E., Jaffery, R., & Fein, D. (2011). Abstractness and continuity in the syntactic development of young children with autism. Autism Research, 4(6), 422-437.",yes,https://onlinelibrary.wiley.com/doi/full/10.1002/aur.223?casa_token=Gny81KxMUrQAAAAA%3Adhn9dMHKXEwe1lAgt2RHsmj5fErzaV97YT5ad20C-S_-Op9-RR5jmfF9zq42yzO5IcFE133jdnM,verb,include,Naigles et al. (2011),table_vi,1,"Naigles, Kelty, Jaffery, & Fein (2011) - 1a",transitive_intransitive,looking_duration,looking,action,NA,naigles2011,English,626.7596,118.77,NA,typically_developing,transitive,noun,noun,fake_verb,video_animal,video,non_person,direct_caused_action,parallel_actions,simultaneous,no,no,distributed,2,2,3,6,the duck is gorping the bunny!,They're different now! Where is gorping now?Find gorping!,2,NA,not_unique,look,1,direct_caused_action_parallel_actions,no,text/table,2011,18,0.49,0.5,0.49,0.424264069,0.424264069,0.1552,1.72,0.41,-0.023570226,0.055570988,group_means_one,20.59,44
anjie,scott2017,"Scott, K., Chu, J., & Schulz, L. (2017). Lookit (Part 2): Assessing the viability of online developmental research, results from three case studies. Open Mind, 1(1), 15-29.",yes,https://www.mitpressjournals.org/doi/full/10.1162/OPMI_a_00001,verb,include,"Scott, Chu, & Schulz (2017)",author_contact,2,"Scott, Chu, & Schulz (2017) - 2a",transitive_experiment,looking_duration,looking,action,NA,45,English,888.848,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,distributed,4,2,12,3,NA,Where's meeking? Find meeking,1,online study,unique_condition,look,1,direct_caused_action_one_action,no,author_contact,2017,16,0.426287744,0.5,NA,0.126702191,0.126702191,NA,NA,NA,-0.581775701,0.073076968,group_means_one,29.2,45
anjie,scott2017,"Scott, K., Chu, J., & Schulz, L. (2017). Lookit (Part 2): Assessing the viability of online developmental research, results from three case studies. Open Mind, 1(1), 15-29.",yes,https://www.mitpressjournals.org/doi/full/10.1162/OPMI_a_00001,verb,include,"Scott, Chu, & Schulz (2017)",author_contact,2,"Scott, Chu, & Schulz (2017) - 2b",intransitive_experiment,looking_duration,looking,action,NA,46,English,888.848,NA,NA,typically_developing,intransitive,noun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,distributed,4,2,12,3,Jane is gonna meek!,Where's meeking? Find meeking,1,online study,unique_condition,look,1,direct_caused_action_one_action,no,author_contact,2017,17,0.533149171,0.5,NA,0.166298343,0.166298343,NA,NA,NA,0.199335546,0.059992196,group_means_one,29.2,46
anjie,yuan2009a,"Yuan, S., & Fisher, C. (2009). “Really? She blicked the baby?” Two-year-olds learn combinatorial facts about verbs by listening. Psychological science, 20(5), 619-626.",yes,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, & Fisher (2009)",table_1,1,Yuan & Fisher (2009) - 1a,transitive_sentence,looking_duration,looking,action,0.055916775,47,English,870.584,NA,78.5,typically_developing,transitive,pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,mass,1,2,8,2,Hey...Jim is gonna blick the cat!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2009,8,0.626788036,0.5,NA,0.16,0.055916775,NA,NA,NA,0.792425225,0.164246109,group_means_one,28.6,47
anjie,yuan2009a,"Yuan, S., & Fisher, C. (2009). “Really? She blicked the baby?” Two-year-olds learn combinatorial facts about verbs by listening. Psychological science, 20(5), 619-626.",yes,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, & Fisher (2009)",table_1,1,Yuan & Fisher (2009) - 1b,intransitive_sentence,looking_duration,looking,action,0.053691275,48,English,870.584,NA,78.5,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,mass,1,2,8,2,Hey...Jim is gonna blick!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2009,8,0.553020134,0.5,NA,0.15,0.053691275,NA,NA,NA,0.35346756,0.132808707,group_means_one,28.6,48
anjie,yuan2009a,"Yuan, S., & Fisher, C. (2009). “Really? She blicked the baby?” Two-year-olds learn combinatorial facts about verbs by listening. Psychological science, 20(5), 619-626.",yes,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, & Fisher (2009)",table_2,2,Yuan & Fisher (2009) - 2a,transitive_sentence_same_day,looking_duration,looking,action,0.049414824,49,English,864.496,NA,72.5,typically_developing,transitive,pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,mass,1,3,12,3,Hey...Jim is gonna blick the cat!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2009,8,0.703511053,0.5,NA,0.14,0.049414824,NA,NA,NA,1.453650379,0.257068714,group_means_one,28.4,49
anjie,yuan2009a,"Yuan, S., & Fisher, C. (2009). “Really? She blicked the baby?” Two-year-olds learn combinatorial facts about verbs by listening. Psychological science, 20(5), 619-626.",yes,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, & Fisher (2009)",table_2,2,Yuan & Fisher (2009) - 2b,intransitive_sentence_same_day,looking_duration,looking,action,0.026388889,50,English,864.496,NA,72.5,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,mass,1,3,12,3,Hey...Jim is gonna blick!,Find blicking! Where’s blicking? See? Where’s blicking?,2,this paper also has a condition that kiddos tested on the second day,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2009,8,0.429166667,0.5,NA,0.074639049,0.074639049,NA,NA,NA,-0.94901173,0.181288954,group_means_one,28.4,50
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,1,"Yuan, Fisher, & Snedeker (2012) - 1a",transitive_sentence_simple_event,looking_duration,looking,action,NA,51,English,648.372,NA,30,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,direct_caused_action,one_action,simultaneous,no,yes,mass,1,2,5,2,He's gorping him!,Find gorping.,2,NA,unique_condition,look,1,direct_caused_action_one_action,no,text/table,2012,8,0.67,0.5,NA,0.13,0.13,NA,NA,NA,1.307692308,0.231878698,group_means_one,21.3,51
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,1,"Yuan, Fisher, & Snedeker (2012) - 1b",intransitive_sentence_simple_event,looking_duration,looking,action,NA,52,English,648.372,NA,30,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,one_action,simultaneous,no,yes,mass,1,2,5,2,He's gorping!,Find gorping.,2,NA,unique_condition,look,1,direct_caused_action_one_action,no,text/table,2012,8,0.55,0.5,NA,0.21,0.21,NA,NA,NA,0.238095238,0.128543084,group_means_one,21.3,52
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,1_rep,"Yuan, Fisher, & Snedeker (2012) - 1c",transitive_sentence_simple_event,looking_duration,looking,action,NA,53,English,648.372,NA,54.5,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,indirect_caused_action,one_action,simultaneous,no,yes,mass,1,2,5,2,He's gorping him!,Find gorping.,2,NA,unique_condition,look,1,indirect_caused_action_one_action,no,text/table,2012,8,0.7,0.5,NA,0.16,0.16,NA,NA,NA,1.25,0.22265625,group_means_one,21.3,53
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,1_rep,"Yuan, Fisher, & Snedeker (2012) - 1d",intransitive_sentence_bystander_event,looking_duration,looking,action,NA,54,English,648.372,NA,54.5,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,one_action,simultaneous,no,yes,mass,1,2,5,2,He's gorping!,Find gorping.,2,NA,unique_condition,look,1,indirect_caused_action_one_action,no,text/table,2012,8,0.51,0.5,NA,0.13,0.13,NA,NA,NA,0.076923077,0.125369822,group_means_one,21.3,54
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,2,"Yuan, Fisher, & Snedeker (2012) - 2a",transitive_sentence_bystander_event,looking_duration,looking,action,NA,55,English,630.108,NA,26.5,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,simultaneous,no,yes,mass,1,2,7,2,He's gorping him!,Find gorping.,2,NA,unique_condition,look,1,indirect_caused_action_parallel_actions,no,text/table,2012,8,0.66,0.5,NA,0.18,0.18,NA,NA,NA,0.888888889,0.174382716,group_means_one,20.7,55
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,2,"Yuan, Fisher, & Snedeker (2012) - 2b",intransitive_sentence_bystander_event,looking_duration,looking,action,NA,56,English,630.108,NA,26.5,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,simultaneous,no,yes,mass,1,2,7,2,He's gorping!,Find gorping.,2,NA,unique_condition,look,1,indirect_caused_action_parallel_actions,no,text/table,2012,8,0.53,0.5,NA,0.17,0.17,NA,NA,NA,0.176470588,0.126946367,group_means_one,20.7,56
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,3,"Yuan, Fisher, & Snedeker (2012) - 3a",transitive_simple_events,looking_duration,looking,action,NA,57,English,572.272,NA,16,typically_developing,transitive,pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,14,2,He's gorping him!,Find gorping.,2,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2012,12,0.67,0.5,NA,0.06,0.06,NA,NA,NA,2.833333333,0.417824074,group_means_one,18.8,57
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,3,"Yuan, Fisher, & Snedeker (2012) - 3b",intransitive_simple_events,looking_duration,looking,action,NA,58,English,572.272,NA,16,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,14,2,He's gorping!,Find gorping.,2,NA,unique_condition,look,varying,direct_caused_action_one_action,no,text/table,2012,12,0.47,0.5,NA,0.2,0.2,NA,NA,NA,-0.15,0.084270833,group_means_one,18.8,58
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,3,"Yuan, Fisher, & Snedeker (2012) - 3c",transitive_sentence_bystander_event,looking_duration,looking,action,NA,59,English,572.272,NA,16,typically_developing,transitive,pronoun,noun,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,no,no,mass,1,3,18,3,He's gorping him!,Find gorping.,2,NA,unique_condition,look,varying,indirect_caused_action_parallel_actions,no,text/table,2012,12,0.57,0.5,NA,0.17,0.17,NA,NA,NA,0.411764706,0.090397924,group_means_one,18.8,59
anjie,yuan2012,"Yuan, S., Fisher, C., & Snedeker, J. (2012). Counting the nouns: Simple structural cues to verb meaning. Child development, 83(4), 1382-1399.",yes,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, Fisher, & Snedeker (2012)",results_text,3,"Yuan, Fisher, & Snedeker (2012) - 3d",intransitive_sentence_bystander_event,looking_duration,looking,action,NA,60,English,572.272,NA,16,typically_developing,intransitive,pronoun,INTRANSITIVE,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,no,no,mass,1,3,18,3,He's gorping!,Find gorping.,2,NA,unique_condition,look,varying,indirect_caused_action_parallel_actions,no,text/table,2012,12,0.64,0.5,NA,0.09,0.09,NA,NA,NA,1.555555556,0.184156379,group_means_one,18.8,60
